timestamp,session_uid,frame,car_index,position,num_laps,grid_position,points,num_pit_stops,result_status,result_reason,best_lap_time_ms,total_race_time,penalties_time,num_penalties,num_tyre_stints
1761467993.275203,14516211168466667019,0,0,7,53,3,6,2,3,2,90930,5003.5732421875,0,0,3
1761467993.275203,14516211168466667019,0,1,17,52,14,0,2,3,2,91768,4953.09912109375,0,0,3
1761467993.275203,14516211168466667019,0,2,15,53,20,0,3,3,2,91500,5041.91796875,0,0,4
1761467993.275203,14516211168466667019,0,3,1,53,4,25,2,3,2,90604,4950.8125,0,0,3
1761467993.275203,14516211168466667019,0,4,2,53,8,18,2,3,2,90631,4956.30029296875,0,0,3
1761467993.275203,14516211168466667019,0,5,14,53,13,0,2,3,2,92581,5041.60400390625,0,0,3
1761467993.275203,14516211168466667019,0,6,9,53,16,2,2,3,2,91472,5023.8427734375,0,0,3
1761467993.275203,14516211168466667019,0,7,8,53,9,4,3,3,2,90787,5015.06591796875,0,0,4
1761467993.275203,14516211168466667019,0,8,19,16,5,0,0,4,3,93856,1596.40283203125,0,0,1
1761467993.275203,14516211168466667019,0,9,5,53,6,10,2,3,2,91458,4968.86328125,0,0,3
1761467993.275203,14516211168466667019,0,10,12,53,11,0,3,3,2,91525,5040.74658203125,0,0,4
1761467993.275203,14516211168466667019,0,11,6,53,2,8,2,3,2,92085,5003.212890625,0,0,3
1761467993.275203,14516211168466667019,0,12,16,53,17,0,3,3,2,91830,5042.70849609375,0,0,4
1761467993.275203,14516211168466667019,0,13,11,53,15,0,3,3,2,91094,5040.42578125,0,0,4
1761467993.275203,14516211168466667019,0,14,10,53,12,1,2,3,2,92014,5026.42431640625,0,0,3
1761467993.275203,14516211168466667019,0,15,18,52,19,0,2,3,2,94019,5040.09716796875,0,0,3
1761467993.275203,14516211168466667019,0,16,4,53,1,12,3,3,2,90023,4967.22216796875,0,0,4
1761467993.275203,14516211168466667019,0,17,3,53,7,15,2,3,2,91180,4966.79638671875,0,0,3
1761467993.275203,14516211168466667019,0,18,13,53,10,0,2,3,2,91964,5041.19287109375,0,0,3
1761467993.275203,14516211168466667019,0,19,20,0,18,0,0,4,1,0,5130.858471468091,0,0,1
1761467993.275203,14516211168466667019,0,20,0,0,0,0,0,0,0,0,0.0,0,0,0
1761467993.275203,14516211168466667019,0,21,0,0,0,0,0,0,0,0,0.0,0,0,0
1761467998.2869556,14516211168466667019,0,0,7,53,3,6,2,3,2,90930,5003.5732421875,0,0,3
1761467998.2869556,14516211168466667019,0,1,17,52,14,0,2,3,2,91768,4953.09912109375,0,0,3
1761467998.2869556,14516211168466667019,0,2,15,53,20,0,3,3,2,91500,5041.91796875,0,0,4
1761467998.2869556,14516211168466667019,0,3,1,53,4,25,2,3,2,90604,4950.8125,0,0,3
1761467998.2869556,14516211168466667019,0,4,2,53,8,18,2,3,2,90631,4956.30029296875,0,0,3
1761467998.2869556,14516211168466667019,0,5,14,53,13,0,2,3,2,92581,5041.60400390625,0,0,3
1761467998.2869556,14516211168466667019,0,6,9,53,16,2,2,3,2,91472,5023.8427734375,0,0,3
1761467998.2869556,14516211168466667019,0,7,8,53,9,4,3,3,2,90787,5015.06591796875,0,0,4
1761467998.2869556,14516211168466667019,0,8,19,16,5,0,0,4,3,93856,1596.40283203125,0,0,1
1761467998.2869556,14516211168466667019,0,9,5,53,6,10,2,3,2,91458,4968.86328125,0,0,3
1761467998.2869556,14516211168466667019,0,10,12,53,11,0,3,3,2,91525,5040.74658203125,0,0,4
1761467998.2869556,14516211168466667019,0,11,6,53,2,8,2,3,2,92085,5003.212890625,0,0,3
1761467998.2869556,14516211168466667019,0,12,16,53,17,0,3,3,2,91830,5042.70849609375,0,0,4
1761467998.2869556,14516211168466667019,0,13,11,53,15,0,3,3,2,91094,5040.42578125,0,0,4
1761467998.2869556,14516211168466667019,0,14,10,53,12,1,2,3,2,92014,5026.42431640625,0,0,3
1761467998.2869556,14516211168466667019,0,15,18,52,19,0,2,3,2,94019,5040.09716796875,0,0,3
1761467998.2869556,14516211168466667019,0,16,4,53,1,12,3,3,2,90023,4967.22216796875,0,0,4
1761467998.2869556,14516211168466667019,0,17,3,53,7,15,2,3,2,91180,4966.79638671875,0,0,3
1761467998.2869556,14516211168466667019,0,18,13,53,10,0,2,3,2,91964,5041.19287109375,0,0,3
1761467998.2869556,14516211168466667019,0,19,20,0,18,0,0,4,1,0,5130.858471468091,0,0,1
1761467998.2869556,14516211168466667019,0,20,0,0,0,0,0,0,0,0,0.0,0,0,0
1761467998.2869556,14516211168466667019,0,21,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468003.2934935,14516211168466667019,0,0,7,53,3,6,2,3,2,90930,5003.5732421875,0,0,3
1761468003.2934935,14516211168466667019,0,1,17,52,14,0,2,3,2,91768,4953.09912109375,0,0,3
1761468003.2934935,14516211168466667019,0,2,15,53,20,0,3,3,2,91500,5041.91796875,0,0,4
1761468003.2934935,14516211168466667019,0,3,1,53,4,25,2,3,2,90604,4950.8125,0,0,3
1761468003.2934935,14516211168466667019,0,4,2,53,8,18,2,3,2,90631,4956.30029296875,0,0,3
1761468003.2934935,14516211168466667019,0,5,14,53,13,0,2,3,2,92581,5041.60400390625,0,0,3
1761468003.2934935,14516211168466667019,0,6,9,53,16,2,2,3,2,91472,5023.8427734375,0,0,3
1761468003.2934935,14516211168466667019,0,7,8,53,9,4,3,3,2,90787,5015.06591796875,0,0,4
1761468003.2934935,14516211168466667019,0,8,19,16,5,0,0,4,3,93856,1596.40283203125,0,0,1
1761468003.2934935,14516211168466667019,0,9,5,53,6,10,2,3,2,91458,4968.86328125,0,0,3
1761468003.2934935,14516211168466667019,0,10,12,53,11,0,3,3,2,91525,5040.74658203125,0,0,4
1761468003.2934935,14516211168466667019,0,11,6,53,2,8,2,3,2,92085,5003.212890625,0,0,3
1761468003.2934935,14516211168466667019,0,12,16,53,17,0,3,3,2,91830,5042.70849609375,0,0,4
1761468003.2934935,14516211168466667019,0,13,11,53,15,0,3,3,2,91094,5040.42578125,0,0,4
1761468003.2934935,14516211168466667019,0,14,10,53,12,1,2,3,2,92014,5026.42431640625,0,0,3
1761468003.2934935,14516211168466667019,0,15,18,52,19,0,2,3,2,94019,5040.09716796875,0,0,3
1761468003.2934935,14516211168466667019,0,16,4,53,1,12,3,3,2,90023,4967.22216796875,0,0,4
1761468003.2934935,14516211168466667019,0,17,3,53,7,15,2,3,2,91180,4966.79638671875,0,0,3
1761468003.2934935,14516211168466667019,0,18,13,53,10,0,2,3,2,91964,5041.19287109375,0,0,3
1761468003.2934935,14516211168466667019,0,19,20,0,18,0,0,4,1,0,5130.858471468091,0,0,1
1761468003.2934935,14516211168466667019,0,20,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468003.2934935,14516211168466667019,0,21,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468008.304931,14516211168466667019,0,0,7,53,3,6,2,3,2,90930,5003.5732421875,0,0,3
1761468008.304931,14516211168466667019,0,1,17,52,14,0,2,3,2,91768,4953.09912109375,0,0,3
1761468008.304931,14516211168466667019,0,2,15,53,20,0,3,3,2,91500,5041.91796875,0,0,4
1761468008.304931,14516211168466667019,0,3,1,53,4,25,2,3,2,90604,4950.8125,0,0,3
1761468008.304931,14516211168466667019,0,4,2,53,8,18,2,3,2,90631,4956.30029296875,0,0,3
1761468008.304931,14516211168466667019,0,5,14,53,13,0,2,3,2,92581,5041.60400390625,0,0,3
1761468008.304931,14516211168466667019,0,6,9,53,16,2,2,3,2,91472,5023.8427734375,0,0,3
1761468008.304931,14516211168466667019,0,7,8,53,9,4,3,3,2,90787,5015.06591796875,0,0,4
1761468008.304931,14516211168466667019,0,8,19,16,5,0,0,4,3,93856,1596.40283203125,0,0,1
1761468008.304931,14516211168466667019,0,9,5,53,6,10,2,3,2,91458,4968.86328125,0,0,3
1761468008.304931,14516211168466667019,0,10,12,53,11,0,3,3,2,91525,5040.74658203125,0,0,4
1761468008.304931,14516211168466667019,0,11,6,53,2,8,2,3,2,92085,5003.212890625,0,0,3
1761468008.304931,14516211168466667019,0,12,16,53,17,0,3,3,2,91830,5042.70849609375,0,0,4
1761468008.304931,14516211168466667019,0,13,11,53,15,0,3,3,2,91094,5040.42578125,0,0,4
1761468008.304931,14516211168466667019,0,14,10,53,12,1,2,3,2,92014,5026.42431640625,0,0,3
1761468008.304931,14516211168466667019,0,15,18,52,19,0,2,3,2,94019,5040.09716796875,0,0,3
1761468008.304931,14516211168466667019,0,16,4,53,1,12,3,3,2,90023,4967.22216796875,0,0,4
1761468008.304931,14516211168466667019,0,17,3,53,7,15,2,3,2,91180,4966.79638671875,0,0,3
1761468008.304931,14516211168466667019,0,18,13,53,10,0,2,3,2,91964,5041.19287109375,0,0,3
1761468008.304931,14516211168466667019,0,19,20,0,18,0,0,4,1,0,5130.858471468091,0,0,1
1761468008.304931,14516211168466667019,0,20,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468008.304931,14516211168466667019,0,21,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468013.3144484,14516211168466667019,0,0,7,53,3,6,2,3,2,90930,5003.5732421875,0,0,3
1761468013.3144484,14516211168466667019,0,1,17,52,14,0,2,3,2,91768,4953.09912109375,0,0,3
1761468013.3144484,14516211168466667019,0,2,15,53,20,0,3,3,2,91500,5041.91796875,0,0,4
1761468013.3144484,14516211168466667019,0,3,1,53,4,25,2,3,2,90604,4950.8125,0,0,3
1761468013.3144484,14516211168466667019,0,4,2,53,8,18,2,3,2,90631,4956.30029296875,0,0,3
1761468013.3144484,14516211168466667019,0,5,14,53,13,0,2,3,2,92581,5041.60400390625,0,0,3
1761468013.3144484,14516211168466667019,0,6,9,53,16,2,2,3,2,91472,5023.8427734375,0,0,3
1761468013.3144484,14516211168466667019,0,7,8,53,9,4,3,3,2,90787,5015.06591796875,0,0,4
1761468013.3144484,14516211168466667019,0,8,19,16,5,0,0,4,3,93856,1596.40283203125,0,0,1
1761468013.3144484,14516211168466667019,0,9,5,53,6,10,2,3,2,91458,4968.86328125,0,0,3
1761468013.3144484,14516211168466667019,0,10,12,53,11,0,3,3,2,91525,5040.74658203125,0,0,4
1761468013.3144484,14516211168466667019,0,11,6,53,2,8,2,3,2,92085,5003.212890625,0,0,3
1761468013.3144484,14516211168466667019,0,12,16,53,17,0,3,3,2,91830,5042.70849609375,0,0,4
1761468013.3144484,14516211168466667019,0,13,11,53,15,0,3,3,2,91094,5040.42578125,0,0,4
1761468013.3144484,14516211168466667019,0,14,10,53,12,1,2,3,2,92014,5026.42431640625,0,0,3
1761468013.3144484,14516211168466667019,0,15,18,52,19,0,2,3,2,94019,5040.09716796875,0,0,3
1761468013.3144484,14516211168466667019,0,16,4,53,1,12,3,3,2,90023,4967.22216796875,0,0,4
1761468013.3144484,14516211168466667019,0,17,3,53,7,15,2,3,2,91180,4966.79638671875,0,0,3
1761468013.3144484,14516211168466667019,0,18,13,53,10,0,2,3,2,91964,5041.19287109375,0,0,3
1761468013.3144484,14516211168466667019,0,19,20,0,18,0,0,4,1,0,5130.858471468091,0,0,1
1761468013.3144484,14516211168466667019,0,20,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468013.3144484,14516211168466667019,0,21,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468018.317438,14516211168466667019,0,0,7,53,3,6,2,3,2,90930,5003.5732421875,0,0,3
1761468018.317438,14516211168466667019,0,1,17,52,14,0,2,3,2,91768,4953.09912109375,0,0,3
1761468018.317438,14516211168466667019,0,2,15,53,20,0,3,3,2,91500,5041.91796875,0,0,4
1761468018.317438,14516211168466667019,0,3,1,53,4,25,2,3,2,90604,4950.8125,0,0,3
1761468018.317438,14516211168466667019,0,4,2,53,8,18,2,3,2,90631,4956.30029296875,0,0,3
1761468018.317438,14516211168466667019,0,5,14,53,13,0,2,3,2,92581,5041.60400390625,0,0,3
1761468018.317438,14516211168466667019,0,6,9,53,16,2,2,3,2,91472,5023.8427734375,0,0,3
1761468018.317438,14516211168466667019,0,7,8,53,9,4,3,3,2,90787,5015.06591796875,0,0,4
1761468018.317438,14516211168466667019,0,8,19,16,5,0,0,4,3,93856,1596.40283203125,0,0,1
1761468018.317438,14516211168466667019,0,9,5,53,6,10,2,3,2,91458,4968.86328125,0,0,3
1761468018.317438,14516211168466667019,0,10,12,53,11,0,3,3,2,91525,5040.74658203125,0,0,4
1761468018.317438,14516211168466667019,0,11,6,53,2,8,2,3,2,92085,5003.212890625,0,0,3
1761468018.317438,14516211168466667019,0,12,16,53,17,0,3,3,2,91830,5042.70849609375,0,0,4
1761468018.317438,14516211168466667019,0,13,11,53,15,0,3,3,2,91094,5040.42578125,0,0,4
1761468018.317438,14516211168466667019,0,14,10,53,12,1,2,3,2,92014,5026.42431640625,0,0,3
1761468018.317438,14516211168466667019,0,15,18,52,19,0,2,3,2,94019,5040.09716796875,0,0,3
1761468018.317438,14516211168466667019,0,16,4,53,1,12,3,3,2,90023,4967.22216796875,0,0,4
1761468018.317438,14516211168466667019,0,17,3,53,7,15,2,3,2,91180,4966.79638671875,0,0,3
1761468018.317438,14516211168466667019,0,18,13,53,10,0,2,3,2,91964,5041.19287109375,0,0,3
1761468018.317438,14516211168466667019,0,19,20,0,18,0,0,4,1,0,5130.858471468091,0,0,1
1761468018.317438,14516211168466667019,0,20,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468018.317438,14516211168466667019,0,21,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468023.3258545,14516211168466667019,0,0,7,53,3,6,2,3,2,90930,5003.5732421875,0,0,3
1761468023.3258545,14516211168466667019,0,1,17,52,14,0,2,3,2,91768,4953.09912109375,0,0,3
1761468023.3258545,14516211168466667019,0,2,15,53,20,0,3,3,2,91500,5041.91796875,0,0,4
1761468023.3258545,14516211168466667019,0,3,1,53,4,25,2,3,2,90604,4950.8125,0,0,3
1761468023.3258545,14516211168466667019,0,4,2,53,8,18,2,3,2,90631,4956.30029296875,0,0,3
1761468023.3258545,14516211168466667019,0,5,14,53,13,0,2,3,2,92581,5041.60400390625,0,0,3
1761468023.3258545,14516211168466667019,0,6,9,53,16,2,2,3,2,91472,5023.8427734375,0,0,3
1761468023.3258545,14516211168466667019,0,7,8,53,9,4,3,3,2,90787,5015.06591796875,0,0,4
1761468023.3258545,14516211168466667019,0,8,19,16,5,0,0,4,3,93856,1596.40283203125,0,0,1
1761468023.3258545,14516211168466667019,0,9,5,53,6,10,2,3,2,91458,4968.86328125,0,0,3
1761468023.3258545,14516211168466667019,0,10,12,53,11,0,3,3,2,91525,5040.74658203125,0,0,4
1761468023.3258545,14516211168466667019,0,11,6,53,2,8,2,3,2,92085,5003.212890625,0,0,3
1761468023.3258545,14516211168466667019,0,12,16,53,17,0,3,3,2,91830,5042.70849609375,0,0,4
1761468023.3258545,14516211168466667019,0,13,11,53,15,0,3,3,2,91094,5040.42578125,0,0,4
1761468023.3258545,14516211168466667019,0,14,10,53,12,1,2,3,2,92014,5026.42431640625,0,0,3
1761468023.3258545,14516211168466667019,0,15,18,52,19,0,2,3,2,94019,5040.09716796875,0,0,3
1761468023.3258545,14516211168466667019,0,16,4,53,1,12,3,3,2,90023,4967.22216796875,0,0,4
1761468023.3258545,14516211168466667019,0,17,3,53,7,15,2,3,2,91180,4966.79638671875,0,0,3
1761468023.3258545,14516211168466667019,0,18,13,53,10,0,2,3,2,91964,5041.19287109375,0,0,3
1761468023.3258545,14516211168466667019,0,19,20,0,18,0,0,4,1,0,5130.858471468091,0,0,1
1761468023.3258545,14516211168466667019,0,20,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468023.3258545,14516211168466667019,0,21,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468028.329461,14516211168466667019,0,0,7,53,3,6,2,3,2,90930,5003.5732421875,0,0,3
1761468028.329461,14516211168466667019,0,1,17,52,14,0,2,3,2,91768,4953.09912109375,0,0,3
1761468028.329461,14516211168466667019,0,2,15,53,20,0,3,3,2,91500,5041.91796875,0,0,4
1761468028.329461,14516211168466667019,0,3,1,53,4,25,2,3,2,90604,4950.8125,0,0,3
1761468028.329461,14516211168466667019,0,4,2,53,8,18,2,3,2,90631,4956.30029296875,0,0,3
1761468028.329461,14516211168466667019,0,5,14,53,13,0,2,3,2,92581,5041.60400390625,0,0,3
1761468028.329461,14516211168466667019,0,6,9,53,16,2,2,3,2,91472,5023.8427734375,0,0,3
1761468028.329461,14516211168466667019,0,7,8,53,9,4,3,3,2,90787,5015.06591796875,0,0,4
1761468028.329461,14516211168466667019,0,8,19,16,5,0,0,4,3,93856,1596.40283203125,0,0,1
1761468028.329461,14516211168466667019,0,9,5,53,6,10,2,3,2,91458,4968.86328125,0,0,3
1761468028.329461,14516211168466667019,0,10,12,53,11,0,3,3,2,91525,5040.74658203125,0,0,4
1761468028.329461,14516211168466667019,0,11,6,53,2,8,2,3,2,92085,5003.212890625,0,0,3
1761468028.329461,14516211168466667019,0,12,16,53,17,0,3,3,2,91830,5042.70849609375,0,0,4
1761468028.329461,14516211168466667019,0,13,11,53,15,0,3,3,2,91094,5040.42578125,0,0,4
1761468028.329461,14516211168466667019,0,14,10,53,12,1,2,3,2,92014,5026.42431640625,0,0,3
1761468028.329461,14516211168466667019,0,15,18,52,19,0,2,3,2,94019,5040.09716796875,0,0,3
1761468028.329461,14516211168466667019,0,16,4,53,1,12,3,3,2,90023,4967.22216796875,0,0,4
1761468028.329461,14516211168466667019,0,17,3,53,7,15,2,3,2,91180,4966.79638671875,0,0,3
1761468028.329461,14516211168466667019,0,18,13,53,10,0,2,3,2,91964,5041.19287109375,0,0,3
1761468028.329461,14516211168466667019,0,19,20,0,18,0,0,4,1,0,5130.858471468091,0,0,1
1761468028.329461,14516211168466667019,0,20,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468028.329461,14516211168466667019,0,21,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468033.3457873,14516211168466667019,0,0,7,53,3,6,2,3,2,90930,5003.5732421875,0,0,3
1761468033.3457873,14516211168466667019,0,1,17,52,14,0,2,3,2,91768,4953.09912109375,0,0,3
1761468033.3457873,14516211168466667019,0,2,15,53,20,0,3,3,2,91500,5041.91796875,0,0,4
1761468033.3457873,14516211168466667019,0,3,1,53,4,25,2,3,2,90604,4950.8125,0,0,3
1761468033.3457873,14516211168466667019,0,4,2,53,8,18,2,3,2,90631,4956.30029296875,0,0,3
1761468033.3457873,14516211168466667019,0,5,14,53,13,0,2,3,2,92581,5041.60400390625,0,0,3
1761468033.3457873,14516211168466667019,0,6,9,53,16,2,2,3,2,91472,5023.8427734375,0,0,3
1761468033.3457873,14516211168466667019,0,7,8,53,9,4,3,3,2,90787,5015.06591796875,0,0,4
1761468033.3457873,14516211168466667019,0,8,19,16,5,0,0,4,3,93856,1596.40283203125,0,0,1
1761468033.3457873,14516211168466667019,0,9,5,53,6,10,2,3,2,91458,4968.86328125,0,0,3
1761468033.3457873,14516211168466667019,0,10,12,53,11,0,3,3,2,91525,5040.74658203125,0,0,4
1761468033.3457873,14516211168466667019,0,11,6,53,2,8,2,3,2,92085,5003.212890625,0,0,3
1761468033.3457873,14516211168466667019,0,12,16,53,17,0,3,3,2,91830,5042.70849609375,0,0,4
1761468033.3457873,14516211168466667019,0,13,11,53,15,0,3,3,2,91094,5040.42578125,0,0,4
1761468033.3457873,14516211168466667019,0,14,10,53,12,1,2,3,2,92014,5026.42431640625,0,0,3
1761468033.3457873,14516211168466667019,0,15,18,52,19,0,2,3,2,94019,5040.09716796875,0,0,3
1761468033.3457873,14516211168466667019,0,16,4,53,1,12,3,3,2,90023,4967.22216796875,0,0,4
1761468033.3457873,14516211168466667019,0,17,3,53,7,15,2,3,2,91180,4966.79638671875,0,0,3
1761468033.3457873,14516211168466667019,0,18,13,53,10,0,2,3,2,91964,5041.19287109375,0,0,3
1761468033.3457873,14516211168466667019,0,19,20,0,18,0,0,4,1,0,5130.858471468091,0,0,1
1761468033.3457873,14516211168466667019,0,20,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468033.3457873,14516211168466667019,0,21,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468038.3476508,14516211168466667019,0,0,7,53,3,6,2,3,2,90930,5003.5732421875,0,0,3
1761468038.3476508,14516211168466667019,0,1,17,52,14,0,2,3,2,91768,4953.09912109375,0,0,3
1761468038.3476508,14516211168466667019,0,2,15,53,20,0,3,3,2,91500,5041.91796875,0,0,4
1761468038.3476508,14516211168466667019,0,3,1,53,4,25,2,3,2,90604,4950.8125,0,0,3
1761468038.3476508,14516211168466667019,0,4,2,53,8,18,2,3,2,90631,4956.30029296875,0,0,3
1761468038.3476508,14516211168466667019,0,5,14,53,13,0,2,3,2,92581,5041.60400390625,0,0,3
1761468038.3476508,14516211168466667019,0,6,9,53,16,2,2,3,2,91472,5023.8427734375,0,0,3
1761468038.3476508,14516211168466667019,0,7,8,53,9,4,3,3,2,90787,5015.06591796875,0,0,4
1761468038.3476508,14516211168466667019,0,8,19,16,5,0,0,4,3,93856,1596.40283203125,0,0,1
1761468038.3476508,14516211168466667019,0,9,5,53,6,10,2,3,2,91458,4968.86328125,0,0,3
1761468038.3476508,14516211168466667019,0,10,12,53,11,0,3,3,2,91525,5040.74658203125,0,0,4
1761468038.3476508,14516211168466667019,0,11,6,53,2,8,2,3,2,92085,5003.212890625,0,0,3
1761468038.3476508,14516211168466667019,0,12,16,53,17,0,3,3,2,91830,5042.70849609375,0,0,4
1761468038.3476508,14516211168466667019,0,13,11,53,15,0,3,3,2,91094,5040.42578125,0,0,4
1761468038.3476508,14516211168466667019,0,14,10,53,12,1,2,3,2,92014,5026.42431640625,0,0,3
1761468038.3476508,14516211168466667019,0,15,18,52,19,0,2,3,2,94019,5040.09716796875,0,0,3
1761468038.3476508,14516211168466667019,0,16,4,53,1,12,3,3,2,90023,4967.22216796875,0,0,4
1761468038.3476508,14516211168466667019,0,17,3,53,7,15,2,3,2,91180,4966.79638671875,0,0,3
1761468038.3476508,14516211168466667019,0,18,13,53,10,0,2,3,2,91964,5041.19287109375,0,0,3
1761468038.3476508,14516211168466667019,0,19,20,0,18,0,0,4,1,0,5130.858471468091,0,0,1
1761468038.3476508,14516211168466667019,0,20,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468038.3476508,14516211168466667019,0,21,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468043.357678,14516211168466667019,0,0,7,53,3,6,2,3,2,90930,5003.5732421875,0,0,3
1761468043.357678,14516211168466667019,0,1,17,52,14,0,2,3,2,91768,4953.09912109375,0,0,3
1761468043.357678,14516211168466667019,0,2,15,53,20,0,3,3,2,91500,5041.91796875,0,0,4
1761468043.357678,14516211168466667019,0,3,1,53,4,25,2,3,2,90604,4950.8125,0,0,3
1761468043.357678,14516211168466667019,0,4,2,53,8,18,2,3,2,90631,4956.30029296875,0,0,3
1761468043.357678,14516211168466667019,0,5,14,53,13,0,2,3,2,92581,5041.60400390625,0,0,3
1761468043.357678,14516211168466667019,0,6,9,53,16,2,2,3,2,91472,5023.8427734375,0,0,3
1761468043.357678,14516211168466667019,0,7,8,53,9,4,3,3,2,90787,5015.06591796875,0,0,4
1761468043.357678,14516211168466667019,0,8,19,16,5,0,0,4,3,93856,1596.40283203125,0,0,1
1761468043.357678,14516211168466667019,0,9,5,53,6,10,2,3,2,91458,4968.86328125,0,0,3
1761468043.357678,14516211168466667019,0,10,12,53,11,0,3,3,2,91525,5040.74658203125,0,0,4
1761468043.357678,14516211168466667019,0,11,6,53,2,8,2,3,2,92085,5003.212890625,0,0,3
1761468043.357678,14516211168466667019,0,12,16,53,17,0,3,3,2,91830,5042.70849609375,0,0,4
1761468043.357678,14516211168466667019,0,13,11,53,15,0,3,3,2,91094,5040.42578125,0,0,4
1761468043.357678,14516211168466667019,0,14,10,53,12,1,2,3,2,92014,5026.42431640625,0,0,3
1761468043.357678,14516211168466667019,0,15,18,52,19,0,2,3,2,94019,5040.09716796875,0,0,3
1761468043.357678,14516211168466667019,0,16,4,53,1,12,3,3,2,90023,4967.22216796875,0,0,4
1761468043.357678,14516211168466667019,0,17,3,53,7,15,2,3,2,91180,4966.79638671875,0,0,3
1761468043.357678,14516211168466667019,0,18,13,53,10,0,2,3,2,91964,5041.19287109375,0,0,3
1761468043.357678,14516211168466667019,0,19,20,0,18,0,0,4,1,0,5130.858471468091,0,0,1
1761468043.357678,14516211168466667019,0,20,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468043.357678,14516211168466667019,0,21,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468048.3625576,14516211168466667019,0,0,7,53,3,6,2,3,2,90930,5003.5732421875,0,0,3
1761468048.3625576,14516211168466667019,0,1,17,52,14,0,2,3,2,91768,4953.09912109375,0,0,3
1761468048.3625576,14516211168466667019,0,2,15,53,20,0,3,3,2,91500,5041.91796875,0,0,4
1761468048.3625576,14516211168466667019,0,3,1,53,4,25,2,3,2,90604,4950.8125,0,0,3
1761468048.3625576,14516211168466667019,0,4,2,53,8,18,2,3,2,90631,4956.30029296875,0,0,3
1761468048.3625576,14516211168466667019,0,5,14,53,13,0,2,3,2,92581,5041.60400390625,0,0,3
1761468048.3625576,14516211168466667019,0,6,9,53,16,2,2,3,2,91472,5023.8427734375,0,0,3
1761468048.3625576,14516211168466667019,0,7,8,53,9,4,3,3,2,90787,5015.06591796875,0,0,4
1761468048.3625576,14516211168466667019,0,8,19,16,5,0,0,4,3,93856,1596.40283203125,0,0,1
1761468048.3625576,14516211168466667019,0,9,5,53,6,10,2,3,2,91458,4968.86328125,0,0,3
1761468048.3625576,14516211168466667019,0,10,12,53,11,0,3,3,2,91525,5040.74658203125,0,0,4
1761468048.3625576,14516211168466667019,0,11,6,53,2,8,2,3,2,92085,5003.212890625,0,0,3
1761468048.3625576,14516211168466667019,0,12,16,53,17,0,3,3,2,91830,5042.70849609375,0,0,4
1761468048.3625576,14516211168466667019,0,13,11,53,15,0,3,3,2,91094,5040.42578125,0,0,4
1761468048.3625576,14516211168466667019,0,14,10,53,12,1,2,3,2,92014,5026.42431640625,0,0,3
1761468048.3625576,14516211168466667019,0,15,18,52,19,0,2,3,2,94019,5040.09716796875,0,0,3
1761468048.3625576,14516211168466667019,0,16,4,53,1,12,3,3,2,90023,4967.22216796875,0,0,4
1761468048.3625576,14516211168466667019,0,17,3,53,7,15,2,3,2,91180,4966.79638671875,0,0,3
1761468048.3625576,14516211168466667019,0,18,13,53,10,0,2,3,2,91964,5041.19287109375,0,0,3
1761468048.3625576,14516211168466667019,0,19,20,0,18,0,0,4,1,0,5130.858471468091,0,0,1
1761468048.3625576,14516211168466667019,0,20,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468048.3625576,14516211168466667019,0,21,0,0,0,0,0,0,0,0,0.0,0,0,0
1761468053.3678646,14516211168466667019,0,0,7,53,3,6,2,3,2,90930,5003.5732421875,0,0,3
1761468053.3678646,14516211168466667019,0,1,17,52,14,0,2,3,2,91768,4953.09912109375,0,0,3
1761468053.3678646,14516211168466667019,0,2,15,53,20,0,3,3,2,91500,5041.91796875,0,0,4
1761468053.3678646,14516211168466667019,0,3,1,53,4,25,2,3,2,90604,4950.8125,0,0,3
1761468053.3678646,14516211168466667019,0,4,2,53,8,18,2,3,2,90631,4956.30029296875,0,0,3
1761468053.3678646,14516211168466667019,0,5,14,53,13,0,2,3,2,92581,5041.60400390625,0,0,3
1761468053.3678646,14516211168466667019,0,6,9,53,16,2,2,3,2,91472,5023.8427734375,0,0,3
1761468053.3678646,14516211168466667019,0,7,8,53,9,4,3,3,2,90787,5015.06591796875,0,0,4
1761468053.3678646,14516211168466667019,0,8,19,16,5,0,0,4,3,93856,1596.40283203125,0,0,1
